Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S89209583,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-05-29,10:02 AM,eBird - Traveling Count,150,1,3.042,,1
S93789394,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-08-27,06:16 AM,eBird - Traveling Count,91,1,1.706,,1
S93933539,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-08-30,06:19 AM,eBird - Traveling Count,92,1,1.513,,1
S99355697,Canada Goose,Branta canadensis,303,38,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-12-24,07:03 AM,eBird - Traveling Count,85,1,2.993,,1
S99750208,Canada Goose,Branta canadensis,303,35,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-12-31,09:01 AM,eBird - Traveling Count,68,1,2.494,,2
S98701572,Canada Goose,Branta canadensis,303,42,US-IL,Cook,L1191319,"Northerly Island, Chicago--12th Street Beach",41.8644874,-87.6076734,2021-12-10,10:41 AM,eBird - Traveling Count,15,1,.451,,1
S85345804,Canada Goose,Branta canadensis,303,1,US-IL,Cook,L152696,Orland Grassland,41.5758,-87.8605,2021-04-11,07:18 AM,eBird - Traveling Count,242,1,8.61,,11,,,"46°F warming to 52°F, mostly cloudy. Began at 167th Street trail head followed by gravel trail beggining on the west side of the preserve. COS field trip lead by Mike McNamee and Isoo O’Brien."
S85819681,Canada Goose,Branta canadensis,303,5,US-IL,Cook,L124334,"Richard Clark Park, Chicago",41.9433856,-87.6944263,2021-04-18,11:05 AM,eBird - Traveling Count,59,1,1.207,,1
S91132608,Canada Goose,Branta canadensis,303,8,US-OR,Deschutes,L564147,Smith Rock SP,44.3669375,-121.1371851,2021-07-02,09:17 AM,eBird - Traveling Count,251,1,11.362,,1
S85554988,Canada Goose,Branta canadensis,303,2,US-IL,DuPage,L2306429,Bensenville Ditch,41.9430427,-87.9301588,2021-04-14,04:14 PM,eBird - Traveling Count,73,1,2.221,,1
S85989770,Canada Goose,Branta canadensis,303,9,US-IL,DuPage,L2306429,Bensenville Ditch,41.9430427,-87.9301588,2021-04-20,04:20 PM,eBird - Traveling Count,35,1,1.625,,1
S82821653,Canada Goose,Branta canadensis,303,60,US-IL,DuPage,L1903768,Blackwell Forest Preserve--Cenacle Trail area,41.8281695,-88.1838941,2021-03-05,11:48 AM,eBird - Traveling Count,281,1,5.633,,1
S82825770,Canada Goose,Branta canadensis,303,X,US-IL,DuPage,L2717205,Centennial Trail--West of Route 83 (DuPage Co.),41.6877722,-87.9814202,2021-03-05,05:08 PM,eBird - Traveling Count,37,1,.966,,1
S84042973,Canada Goose,Branta canadensis,303,12,US-IL,DuPage,L1160738,Mayslake Forest Preserve,41.8303048,-87.9567146,2021-03-24,06:45 PM,eBird - Traveling Count,55,1,.286,,13,F Flyover,,FPDDC Watch Out for Woodcocks field trip led by Keriann and Glenn.
S85067280,Canada Goose,Branta canadensis,303,15,US-IL,DuPage,L152717,Songbird Slough Forest Preserve,41.9578,-88.0105,2021-04-07,07:18 PM,eBird - Traveling Count,40,1,.805,,1
S85625137,Canada Goose,Branta canadensis,303,17,US-IL,DuPage,L152717,Songbird Slough Forest Preserve,41.9578,-88.0105,2021-04-15,04:30 PM,eBird - Traveling Count,199,1,5.069,,1
S82286988,Canada Goose,Branta canadensis,303,3,US-IL,DuPage,L6322846,The Preserve at Oak Meadows,41.945447,-87.9816484,2021-02-24,04:47 PM,eBird - Traveling Count,25,1,.402,,1
S87376012,Canada Goose,Branta canadensis,303,4,US-IL,DuPage,L2341850,Winfield Mounds Forest Preserve,41.8825343,-88.1611687,2021-05-07,06:14 PM,eBird - Traveling Count,85,1,3.009,,1
S84034821,Canada Goose,Branta canadensis,303,2,US-IL,DuPage,L1808867,Wood Dale Reservoir,41.9726752,-87.9885417,2021-03-24,04:55 PM,eBird - Traveling Count,15,1,.322,,1
S85063815,Canada Goose,Branta canadensis,303,7,US-IL,DuPage,L1808867,Wood Dale Reservoir,41.9726752,-87.9885417,2021-04-07,04:13 PM,eBird - Traveling Count,174,1,2.414,,1
S86124751,Canada Goose,Branta canadensis,303,5,US-IL,DuPage,L1808867,Wood Dale Reservoir,41.9726752,-87.9885417,2021-04-22,05:52 PM,eBird - Traveling Count,117,1,3.396,,1
S86683727,Canada Goose,Branta canadensis,303,2,US-IL,DuPage,L1808867,Wood Dale Reservoir,41.9726752,-87.9885417,2021-04-29,04:17 PM,eBird - Traveling Count,152,1,1.127,,1
